,bike_name,price,kms_driven,age,brand,Owner_Type
0,TVS Star City,35000,17654,3,TVS,0
1,Royal Enfield Classic,119900,11000,4,Royal Enfield,0
3,TVS Apache RTR,65000,16329,4,TVS,0
4,Yamaha FZ S,80000,10000,3,Yamaha,0
5,Yamaha FZs 150cc,53499,25000,6,Yamaha,0
6,Honda CB Hornet,85000,8200,3,Honda,0
7,Hero Splendor Plus,45000,12645,3,Hero,0
8,Royal Enfield Thunderbird,145000,9190,3,Royal Enfield,0
9,Royal Enfield Classic,88000,19000,7,Royal Enfield,2
10,Yamaha YZF-R15 2.0,72000,20000,7,Yamaha,0
11,Yamaha FZ25 250cc,95000,9665,4,Yamaha,0
12,Bajaj Pulsar NS200,78000,9900,4,Bajaj,0
13,Bajaj Discover 100M,29499,20000,8,Bajaj,0
14,Bajaj Discover 125M,29900,20000,7,Bajaj,0
15,Bajaj Pulsar NS200,90000,11574,3,Bajaj,0
16,Bajaj Pulsar RS200,120000,23000,3,Bajaj,0
17,Suzuki Gixxer SF,48000,24725,5,Suzuki,0
19,Bajaj Discover 125M,29900,20000,7,Bajaj,0
20,Bajaj Pulsar RS200,120000,23000,3,Bajaj,0
21,Suzuki Gixxer SF,48000,24725,5,Suzuki,0
22,Hero Splendor iSmart,46500,3500,2,Hero,0
23,Royal Enfield Classic,121700,24520,5,Royal Enfield,0
24,Yamaha FZ V,45000,23000,6,Yamaha,0
25,Bajaj Pulsar NS200,78000,9900,4,Bajaj,0
26,Hero Super Splendor,20000,29305,16,Hero,0
27,Honda CBF Stunner,20800,30500,7,Honda,2
28,Bajaj Pulsar 150cc,50000,19000,8,Bajaj,0
29,Honda X-Blade 160CC,81200,9100,2,Honda,0
30,Bajaj Pulsar NS200,88000,21914,3,Bajaj,0
31,Yamaha YZF-R15 2.0,80000,20000,4,Yamaha,2
32,Bajaj Avenger 220cc,40900,15000,6,Bajaj,0
33,KTM RC 390cc,180000,17700,4,KTM,0
34,Honda CB Unicorn,40000,30000,8,Honda,0
36,Royal Enfield Classic,98800,39000,5,Royal Enfield,0
37,Honda CBR 150R,65000,43000,6,Honda,0
38,Royal Enfield Thunderbird,190500,4550,2,Royal Enfield,0
39,KTM RC 200cc,179000,3400,2,KTM,0
40,Royal Enfield Thunderbird,70000,45000,8,Royal Enfield,0
41,Bajaj Avenger 220cc,45000,36100,6,Bajaj,0
42,Royal Enfield Bullet,78000,8500,13,Royal Enfield,0
43,Bajaj Avenger Street,110000,2550,2,Bajaj,0
